MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;SGM_LQ_LCR;NUM_TRNS_AC;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-10-06;1111111121;2025-07-06;10M;Fijo;501309;501309;2009-10-06;30/365;EURIBOR;EUR;Coste amortizado;501209;Otros ingresos;501209;1.240;1.15;;;999999999999999.00;2.24;2900-12-31;;;PEQUEÑA_EMPRESA;15;En curso;;999999999999999.09
2024-10-07;1111111122;2024-12-07;2M;Variable;840747;840747;2016-10-07;30/360;EURIBOR;EUR;Valor razonable;840647;P/G;840647;2.230;0.99;EURIBOR;4M;999999999999999.00;3;2024-12-07;9M;8M;PERSONA;5;En curso;;999999999999999.10
2024-10-08;1111111123;2024-12-08;3M;Fijo;548896;548896;2011-10-08;Actual/Actual;EURIBOR;EUR;Coste amortizado;548796;Flujos de saldo;548796;0.610;1.35;;;0.13;1.9;2900-12-31;;;GRAN_EMPRESA;7;En curso;;999999999999999.11
2024-10-09;1111111124;2024-11-09;1M;Variable;183019;183019;2020-10-09;Actual/365;EURIBOR;EUR;Valor razonable;182919;Otros ingresos;182919;0.530;0.73;EURIBOR;8M;1;999999999999999.01;2024-11-09;8M;3M;OTR_INST_FIN;12;En curso;;999999999999999.12
2024-10-10;1111111125;2025-01-10;6M;Fijo;323670;323670;2010-10-10;Actual/360;EURIBOR;EUR;Coste amortizado;323570;P/G;323570;0.540;2.00;;;0.03;2.51;2900-12-31;;;GRAN_EMPRESA;7;En curso;;999999999999999.13
2024-10-11;1111111126;2024-12-11;2M;Variable;396666;396666;2016-10-11;30/365;EURIBOR;EUR;Valor razonable;396566;Flujos de saldo;396566;0.040;0.30;EURIBOR;11M;999999999999999.00;999999999999999.00;2024-12-11;9M;5M;OTR_INST_FIN;3;En curso;;999999999999999.14
2024-10-12;1111111127;2025-01-12;7M;Fijo;843437;843437;2017-10-12;30/360;EURIBOR;EUR;Coste amortizado;843337;Otros ingresos;843337;2.780;0.55;;;999999999999999.00;999999999999999.00;2900-12-31;;;BCE;8;En curso;;999999999999999.15
2024-10-13;1111111128;2025-01-13;3M;Variable;940564;940564;2019-10-13;Actual/Actual;EURIBOR;EUR;Valor razonable;940464;P/G;940464;1.460;1.76;EURIBOR;10M;999999999999999.00;999999999999999.00;2025-01-13;1M;2M;BDE;15;En curso;;999999999999999.16
2024-10-14;1111111129;2024-12-14;2M;Fijo;479261;479261;2015-10-14;Actual/365;EURIBOR;EUR;Coste amortizado;479161;Flujos de saldo;479161;1.270;0.15;;;0.13;999999999999999.00;2900-12-31;;;INST_BANCARIAS;9;En curso;;999999999999999.17
2024-10-15;1111111130;2025-03-15;7M;Variable;478595;478595;2023-10-15;Actual/360;EURIBOR;EUR;Valor razonable;478495;Otros ingresos;478495;0.940;0.37;EURIBOR;7M;0.07;999999999999999.00;2025-03-15;8M;4M;OTR_INST_FIN;7;En curso;;999999999999999.18
2024-10-16;1111111131;2025-05-16;7M;Fijo;364667;364667;2017-10-16;30/365;EURIBOR;EUR;Coste amortizado;364567;P/G;364567;2.400;1.10;;;0.07;999999999999999.00;2900-12-31;;;ISFLSH;14;En curso;;999999999999999.19
2024-10-17;1111111132;2025-01-17;4M;Variable;373844;373844;2018-10-17;30/360;EURIBOR;EUR;Valor razonable;373744;Flujos de saldo;373744;1.970;0.40;EURIBOR;7M;999999999999999.00;3.24;2025-01-17;8M;7M;INST_PUBLICA;10;En curso;;999999999999999.20
2024-10-18;1111111133;2024-12-18;2M;Fijo;444510;444510;2010-10-18;Actual/Actual;EURIBOR;EUR;Coste amortizado;444410;Otros ingresos;444410;1.790;0.32;;;999999999999999.00;0.84;2900-12-31;;;OTR_INST_NO_FIN;18;En curso;;999999999999999.21
2024-10-19;1111111134;2025-07-19;9M;Variable;679949;679949;2016-10-19;Actual/365;EURIBOR;EUR;Valor razonable;679849;P/G;679849;2.700;0.47;EURIBOR;5M;0.19;2.3;2025-07-19;10M;5M;GRAN_EMPRESA;17;En curso;;999999999999999.22
2024-10-20;1111111135;2025-01-20;5M;Fijo;378265;378265;2013-10-20;Actual/360;EURIBOR;EUR;Coste amortizado;378165;Flujos de saldo;378165;0.380;0.32;;;2;999999999999999.02;2900-12-31;;;PEQUEÑA_EMPRESA;0;En curso;;999999999999999.23
2024-10-21;1111111136;2024-11-21;1M;Variable;108508;108508;2013-10-21;30/365;EURIBOR;EUR;Valor razonable;108408;Otros ingresos;108408;1.770;1.57;EURIBOR;2M;0.03;2.63;2024-11-21;9M;1M;PERSONA;8;En curso;;999999999999999.24
2024-10-22;1111111137;2024-12-22;3M;Fijo;347427;347427;2019-10-22;30/360;EURIBOR;EUR;Coste amortizado;347327;P/G;347327;1.180;0.75;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;18;En curso;;999999999999999.25
2024-10-23;1111111138;2024-12-23;3M;Variable;205404;205404;2022-10-23;Actual/Actual;EURIBOR;EUR;Valor razonable;205304;Flujos de saldo;205304;2.710;1.69;EURIBOR;1M;999999999999999.00;999999999999999.00;2024-12-23;8M;11M;OTR_INST_FIN;4;En curso;;999999999999999.26
2024-10-24;1111111139;2025-01-24;9M;Fijo;534431;534431;2022-10-24;Actual/365;EURIBOR;EUR;Coste amortizado;534331;Otros ingresos;534331;2.650;0.19;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;18;En curso;;999999999999999.27
2024-10-25;1111111140;2025-05-25;9M;Variable;535773;535773;2012-10-25;Actual/360;EURIBOR;EUR;Valor razonable;535673;P/G;535673;2.480;1.48;EURIBOR;11M;0.17;999999999999999.00;2025-05-25;2M;8M;OTR_INST_FIN;13;En curso;;999999999999999.28
2024-10-26;1111111141;2024-11-26;5M;Fijo;735180;735180;2014-10-26;30/365;EURIBOR;EUR;Coste amortizado;735080;Flujos de saldo;735080;2.110;1.47;;;0.14;999999999999999.00;2900-12-31;;;BCE;2;En curso;;999999999999999.29
2024-10-27;1111111142;2025-04-27;8M;Variable;366400;366400;2022-10-27;30/360;EURIBOR;EUR;Valor razonable;366300;Otros ingresos;366300;1.790;1.21;EURIBOR;4M;0.04;999999999999999.00;2025-04-27;10M;2M;BDE;9;En curso;;999999999999999.30
2024-10-28;1111111143;2025-05-28;9M;Fijo;668937;668937;2020-10-28;Actual/Actual;EURIBOR;EUR;Coste amortizado;668837;P/G;668837;1.010;1.08;;;999999999999999.00;3.7;2900-12-31;;;INST_BANCARIAS;14;En curso;;999999999999999.31
2024-10-29;1111111144;2025-03-29;7M;Variable;824440;824440;2013-10-29;Actual/365;EURIBOR;EUR;Valor razonable;824340;Flujos de saldo;824340;1.510;1.71;EURIBOR;5M;999999999999999.00;0.44;2025-03-29;4M;1M;OTR_INST_FIN;10;En curso;;999999999999999.32
2024-10-30;1111111145;2024-12-30;3M;Fijo;979776;979776;2013-10-30;Actual/360;EURIBOR;EUR;Coste amortizado;979676;Otros ingresos;979676;1.850;0.69;;;0.1;2.83;2900-12-31;;;ISFLSH;13;En curso;;999999999999999.33
2024-10-31;1111111146;2025-03-31;5M;Variable;849208;849208;2022-10-31;30/365;EURIBOR;EUR;Valor razonable;849108;P/G;849108;1.750;1.98;EURIBOR;4M;3;999999999999999.03;2025-03-31;11M;2M;INST_PUBLICA;12;En curso;;999999999999999.34
2024-11-01;1111111147;2024-12-01;4M;Fijo;369070;369070;2017-11-01;30/360;EURIBOR;EUR;Coste amortizado;368970;Flujos de saldo;368970;2.240;1.34;;;0.13;2.6;2900-12-31;;;OTR_INST_NO_FIN;18;En curso;;999999999999999.35
2024-11-02;1111111148;2025-07-02;9M;Variable;18879;18879;2015-11-02;Actual/Actual;EURIBOR;EUR;Valor razonable;18779;Otros ingresos;18779;1.310;1.82;EURIBOR;11M;999999999999999.00;999999999999999.00;2025-07-02;11M;3M;GRAN_EMPRESA;7;En curso;;999999999999999.36
2024-11-03;1111111149;2024-12-03;2M;Fijo;886715;886715;2016-11-03;Actual/365;EURIBOR;EUR;Coste amortizado;886615;P/G;886615;2.020;0.15;;;999999999999999.00;999999999999999.00;2900-12-31;;;PEQUEÑA_EMPRESA;3;En curso;;999999999999999.37
2024-11-04;1111111150;2024-12-04;1M;Variable;718782;718782;2023-11-04;Actual/360;EURIBOR;EUR;Valor razonable;718682;Flujos de saldo;718682;0.960;1.02;EURIBOR;7M;999999999999999.00;999999999999999.00;2024-12-04;6M;7M;PERSONA;0;En curso;;999999999999999.38
2024-11-05;1111111151;2025-05-05;7M;Fijo;757258;757258;2021-11-05;30/365;EURIBOR;EUR;Coste amortizado;757158;Otros ingresos;757158;1.240;1.33;;;0.1;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;9;En curso;;999999999999999.39
2024-11-06;1111111152;2025-03-06;4M;Variable;448866;448866;2013-11-06;30/360;EURIBOR;EUR;Valor razonable;448766;P/G;448766;1.690;1.90;EURIBOR;4M;0.1;999999999999999.00;2025-03-06;7M;2M;OTR_INST_FIN;3;En curso;;999999999999999.40
2024-11-07;1111111153;2025-01-07;2M;Fijo;925938;925938;2014-11-07;Actual/Actual;EURIBOR;EUR;Coste amortizado;925838;Flujos de saldo;925838;0.050;0.90;;;0.2;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;14;En curso;;999999999999999.41
2024-11-08;1111111154;2025-02-08;11M;Variable;824203;824203;2017-11-08;Actual/365;EURIBOR;EUR;Valor razonable;824103;Otros ingresos;824103;2.620;0.68;EURIBOR;4M;999999999999999.00;3.94;2025-02-08;2M;2M;OTR_INST_FIN;11;En curso;;999999999999999.42
2024-11-09;1111111155;2025-02-09;4M;Fijo;162930;162930;2013-11-09;Actual/360;EURIBOR;EUR;Coste amortizado;162830;P/G;162830;0.060;1.50;;;999999999999999.00;3.35;2900-12-31;;;BCE;2;En curso;;999999999999999.43
2024-11-10;1111111156;2025-02-10;9M;Variable;600001;600001;2019-11-10;30/365;EURIBOR;EUR;Valor razonable;599901;Flujos de saldo;599901;1.760;0.74;EURIBOR;10M;0.17;0.24;2025-02-10;2M;11M;BDE;5;En curso;;999999999999999.44
2024-11-11;1111111157;2024-12-11;1M;Fijo;682910;682910;2017-11-11;30/360;EURIBOR;EUR;Coste amortizado;682810;Otros ingresos;682810;1.740;1.80;;;4;999999999999999.04;2900-12-31;;;INST_BANCARIAS;10;En curso;;999999999999999.45
2024-11-12;1111111158;2024-12-12;3M;Variable;548514;548514;2011-11-12;Actual/Actual;EURIBOR;EUR;Valor razonable;548414;P/G;548414;2.290;0.62;EURIBOR;11M;0.07;1.39;2024-12-12;11M;5M;OTR_INST_FIN;6;En curso;;999999999999999.46
2024-11-13;1111111159;2025-06-13;8M;Fijo;933506;933506;2019-11-13;Actual/365;EURIBOR;EUR;Coste amortizado;933406;Flujos de saldo;933406;1.080;1.25;;;999999999999999.00;999999999999999.00;2900-12-31;;;ISFLSH;3;En curso;;999999999999999.47
2024-11-14;1111111160;2025-05-14;9M;Variable;961880;961880;2011-11-14;Actual/360;EURIBOR;EUR;Valor razonable;961780;Otros ingresos;961780;1.080;1.34;EURIBOR;7M;999999999999999.00;999999999999999.00;2025-05-14;8M;3M;INST_PUBLICA;15;En curso;;999999999999999.48
2024-11-15;1111111161;2025-02-15;3M;Fijo;7694;7694;2018-11-15;30/365;EURIBOR;EUR;Coste amortizado;7594;P/G;7594;0.610;1.45;;;999999999999999.00;999999999999999.00;2900-12-31;;;OTR_INST_NO_FIN;8;En curso;;999999999999999.49
2024-11-16;1111111162;2025-04-16;6M;Variable;703288;703288;2018-11-16;30/360;EURIBOR;EUR;Valor razonable;703188;Flujos de saldo;703188;0.150;0.27;EURIBOR;6M;0.19;999999999999999.00;2025-04-16;7M;8M;GRAN_EMPRESA;14;En curso;;999999999999999.50
2024-11-17;1111111163;2025-02-17;5M;Fijo;858066;858066;2023-11-17;Actual/Actual;EURIBOR;EUR;Coste amortizado;857966;Otros ingresos;857966;0.890;1.70;;;0.16;999999999999999.00;2900-12-31;;;PEQUEÑA_EMPRESA;9;En curso;;999999999999999.51
2024-11-18;1111111164;2025-05-18;7M;Variable;766932;766932;2013-11-18;Actual/365;EURIBOR;EUR;Valor razonable;766832;P/G;766832;2.830;1.83;EURIBOR;10M;0.07;999999999999999.00;2025-05-18;6M;3M;PERSONA;17;En curso;;999999999999999.52
2024-11-19;1111111165;2025-08-19;11M;Fijo;436495;436495;2016-11-19;Actual/360;EURIBOR;EUR;Coste amortizado;436395;Flujos de saldo;436395;1.690;0.06;;;999999999999999.00;2.07;2900-12-31;;;GRAN_EMPRESA;17;En curso;;999999999999999.53
2024-11-20;1111111166;2025-02-20;5M;Variable;270748;270748;2017-11-20;30/365;EURIBOR;EUR;Valor razonable;270648;Otros ingresos;270648;1.630;0.27;EURIBOR;7M;999999999999999.00;2.1;2025-02-20;7M;8M;OTR_INST_FIN;1;En curso;;999999999999999.54
2024-11-21;1111111167;2025-02-21;3M;Fijo;137112;137112;2023-11-21;30/360;EURIBOR;EUR;Coste amortizado;137012;P/G;137012;1.600;1.54;;;0.05;1.92;2900-12-31;;;GRAN_EMPRESA;0;En curso;;999999999999999.55
2024-11-22;1111111168;2025-07-22;10M;Variable;969438;969438;2018-11-22;Actual/Actual;EURIBOR;EUR;Valor razonable;969338;Flujos de saldo;969338;0.950;0.39;EURIBOR;8M;5;999999999999999.05;2025-07-22;11M;8M;OTR_INST_FIN;0;En curso;;999999999999999.56
2024-11-23;1111111169;2025-01-23;10M;Fijo;893285;893285;2009-11-23;Actual/365;LIBOR;GBP;Coste amortizado;893185;Otros ingresos;893185;0.430;0.03;;;0.08;2.89;2900-12-31;;;BCE;7;En curso;;999999999999999.57
2024-11-24;1111111170;2025-01-24;9M;Variable;878190;878190;2019-11-24;Actual/360;LIBOR;GBP;Valor razonable;878090;P/G;878090;0.960;0.68;LIBOR;1M;999999999999999.00;999999999999999.00;2025-01-24;2M;4M;BDE;18;En curso;;999999999999999.58
2024-11-25;1111111171;2025-02-25;3M;Fijo;566751;566751;2018-11-25;30/365;LIBOR;GBP;Coste amortizado;566651;Flujos de saldo;566651;1.800;0.67;;;999999999999999.00;999999999999999.00;2900-12-31;;;INST_BANCARIAS;14;En curso;;999999999999999.59
2024-11-26;1111111172;2025-02-26;9M;Variable;681519;681519;2018-11-26;30/360;LIBOR;GBP;Valor razonable;681419;Otros ingresos;681419;1.040;0.94;LIBOR;10M;999999999999999.00;999999999999999.00;2025-02-26;6M;4M;OTR_INST_FIN;1;En curso;;999999999999999.60
2024-11-27;1111111173;2025-02-27;4M;Fijo;335555;335555;2023-11-27;Actual/Actual;LIBOR;GBP;Coste amortizado;335455;P/G;335455;2.150;0.39;;;0.09;999999999999999.00;2900-12-31;;;ISFLSH;6;En curso;;999999999999999.61
2024-11-28;1111111174;2025-08-28;9M;Variable;697826;697826;2017-11-28;Actual/365;LIBOR;GBP;Valor razonable;697726;Flujos de saldo;697726;2.880;0.54;LIBOR;8M;0.11;999999999999999.00;2025-08-28;10M;2M;INST_PUBLICA;11;En curso;;999999999999999.62
2024-11-29;1111111175;2025-10-29;11M;Fijo;206906;206906;2020-11-29;Actual/360;LIBOR;GBP;Coste amortizado;206806;Otros ingresos;206806;1.780;1.34;;;0.11;999999999999999.00;2900-12-31;;;OTR_INST_NO_FIN;5;En curso;;999999999999999.63
2024-11-30;1111111176;2025-03-30;8M;Variable;668641;668641;2023-11-30;30/365;LIBOR;GBP;Valor razonable;668541;P/G;668541;2.560;0.45;LIBOR;2M;999999999999999.00;0.83;2025-03-30;3M;7M;GRAN_EMPRESA;0;En curso;;999999999999999.64
2024-12-01;1111111177;2025-02-01;5M;Fijo;452228;452228;2010-12-01;30/360;LIBOR;GBP;Coste amortizado;452128;Flujos de saldo;452128;0.180;0.85;;;999999999999999.00;3.86;2900-12-31;;;PEQUEÑA_EMPRESA;3;En curso;;999999999999999.65
2024-12-02;1111111178;2025-01-02;9M;Variable;79880;79880;2012-12-02;Actual/Actual;LIBOR;GBP;Valor razonable;79780;Otros ingresos;79780;2.670;1.96;LIBOR;5M;0.07;2.52;2025-01-02;7M;3M;PERSONA;8;En curso;;999999999999999.66
2024-12-03;1111111179;2025-03-03;4M;Fijo;789524;789524;2023-12-03;Actual/365;LIBOR;GBP;Coste amortizado;789424;P/G;789424;1.480;0.91;;;6;999999999999999.06;2900-12-31;;;GRAN_EMPRESA;7;En curso;;999999999999999.67
2024-12-04;1111111180;2025-10-04;11M;Variable;467867;467867;2014-12-04;Actual/360;LIBOR;GBP;Valor razonable;467767;Flujos de saldo;467767;1.200;1.38;LIBOR;3M;0.2;5.17;2025-10-04;11M;3M;OTR_INST_FIN;18;En curso;;999999999999999.68
2024-12-05;1111111181;2025-06-05;7M;Fijo;899443;899443;2021-12-05;30/365;LIBOR;GBP;Coste amortizado;899343;Otros ingresos;899343;2.420;1.77;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;5;En curso;;999999999999999.69
2024-12-06;1111111182;2025-01-06;7M;Variable;691627;691627;2020-12-06;30/360;LIBOR;GBP;Valor razonable;691527;P/G;691527;0.750;1.61;LIBOR;2M;999999999999999.00;999999999999999.00;2025-01-06;10M;6M;OTR_INST_FIN;15;En curso;;999999999999999.70
2024-12-07;1111111183;2025-03-07;9M;Fijo;419100;419100;2010-12-07;Actual/Actual;LIBOR;GBP;Coste amortizado;419000;Flujos de saldo;419000;0.220;0.34;;;999999999999999.00;999999999999999.00;2900-12-31;;;BCE;1;En curso;;999999999999999.71
2024-12-08;1111111184;2025-08-08;11M;Variable;122489;122489;2014-12-08;Actual/365;LIBOR;GBP;Valor razonable;122389;Otros ingresos;122389;2.100;0.93;LIBOR;5M;0.17;999999999999999.00;2025-08-08;8M;7M;BDE;18;En curso;;999999999999999.72
2024-12-09;1111111185;2025-01-09;1M;Fijo;139516;139516;2023-12-09;Actual/360;LIBOR;GBP;Coste amortizado;139416;P/G;139416;1.170;1.24;;;0.06;999999999999999.00;2900-12-31;;;INST_BANCARIAS;17;En curso;;999999999999999.73
2024-12-10;1111111186;2025-01-10;8M;Variable;287511;287511;2013-12-10;30/365;LIBOR;GBP;Valor razonable;287411;Flujos de saldo;287411;1.960;1.59;LIBOR;5M;0.15;999999999999999.00;2025-01-10;9M;8M;OTR_INST_FIN;2;En curso;;999999999999999.74
2024-12-11;1111111187;2025-03-11;4M;Fijo;407484;407484;2013-12-11;30/360;LIBOR;GBP;Coste amortizado;407384;Otros ingresos;407384;1.090;1.98;;;999999999999999.00;4.01;2900-12-31;;;ISFLSH;2;En curso;;999999999999999.75
2024-12-12;1111111188;2025-01-12;4M;Variable;827302;827302;2023-12-12;Actual/Actual;LIBOR;GBP;Valor razonable;827202;P/G;827202;1.490;0.31;LIBOR;5M;999999999999999.00;3.73;2025-01-12;1M;11M;INST_PUBLICA;8;En curso;;999999999999999.76
2024-12-13;1111111189;2025-01-13;9M;Fijo;284956;284956;2009-12-13;Actual/365;LIBOR;GBP;Coste amortizado;284856;Flujos de saldo;284856;2.490;0.61;;;0.16;2.89;2900-12-31;;;OTR_INST_NO_FIN;11;En curso;;999999999999999.77
2024-12-14;1111111190;2025-04-14;5M;Variable;280875;280875;2019-12-14;Actual/360;LIBOR;GBP;Valor razonable;280775;Otros ingresos;280775;0.100;0.41;LIBOR;3M;7;999999999999999.07;2025-04-14;1M;11M;GRAN_EMPRESA;5;En curso;;999999999999999.78
2024-12-15;1111111191;2025-01-15;1M;Fijo;544048;544048;2022-12-15;30/365;LIBOR;GBP;Coste amortizado;543948;P/G;543948;2.030;1.98;;;0.11;0.7;2900-12-31;;;PEQUEÑA_EMPRESA;7;En curso;;999999999999999.79
2024-12-16;1111111192;2025-03-16;5M;Variable;418714;418714;2012-12-16;30/360;EURIBOR;EUR;Valor razonable;418614;Flujos de saldo;418614;2.710;1.46;EURIBOR;5M;999999999999999.00;999999999999999.00;2025-03-16;4M;11M;PERSONA;6;En curso;;999999999999999.80
2024-12-17;1111111193;2025-04-17;6M;Fijo;585691;585691;2017-12-17;Actual/Actual;EURIBOR;EUR;Coste amortizado;585591;Otros ingresos;585591;0.020;0.34;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;13;En curso;;999999999999999.81
2024-12-18;1111111194;2025-03-18;3M;Variable;374293;374293;2022-12-18;Actual/365;EURIBOR;EUR;Valor razonable;374193;P/G;374193;0.200;0.05;EURIBOR;8M;999999999999999.00;999999999999999.00;2025-03-18;10M;6M;OTR_INST_FIN;17;En curso;;999999999999999.82
2024-12-19;1111111195;2025-04-19;6M;Fijo;84406;84406;2022-12-19;Actual/360;EURIBOR;EUR;Coste amortizado;84306;Flujos de saldo;84306;1.030;0.71;;;0.13;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;4;En curso;;999999999999999.83
2024-12-20;1111111196;2025-06-20;8M;Variable;882060;882060;2018-12-20;30/365;EURIBOR;EUR;Valor razonable;881960;Otros ingresos;881960;0.980;1.49;EURIBOR;8M;0.18;999999999999999.00;2025-06-20;5M;2M;OTR_INST_FIN;12;En curso;;999999999999999.84
2024-12-21;1111111197;2025-08-21;8M;Fijo;416716;416716;2018-12-21;30/360;EURIBOR;EUR;Coste amortizado;416616;P/G;416616;1.090;1.79;;;0.02;999999999999999.00;2900-12-31;;;BCE;6;En curso;;999999999999999.85
2024-12-22;1111111198;2025-04-22;8M;Variable;175016;175016;2009-12-22;Actual/Actual;EURIBOR;EUR;Valor razonable;174916;Flujos de saldo;174916;2.160;0.99;EURIBOR;7M;999999999999999.00;3.13;2025-04-22;9M;4M;BDE;4;En curso;;999999999999999.86
