MI_FEC_DATO;NUM_SEC_AC;MI_FEC_LIQ_IN_D_C;MI_PER_LIQ_IN_D_C;MI_COD_INT_D;DUD_SDO_DOT_TOTAL;MI_SDO_DEU_N_VDO_P;MI_FEC_CONST;MI_CONT_DIA;MI_CURVA_DES;COD_NUMRCO_MONEDA;MI_VALOR_CONT;MI_SDO_COST_AMOR;MI_CONT_VR;MI_SDO_VM;MI_PORC_IN_DEU_UL;MI_DIF_INT_DEU;MI_CRV_REV_INT_DEU;MI_FRE_REV_INT_DEU;MI_PORC_IN_MIN_DEU;MI_PORC_IN_MAX_DEU;MI_FEC_REV_INT_DEU;MI_PER_REV_INT_DEU;MI_LAG_REV_INT_DEU;SGM_LQ_LCR;NUM_TRNS_AC;COD_ECV_AC;MI_PRDO_CRCIA;MI_CRCIA
2024-10-06;1111111121;2024-11-06;3M;Fijo;617285;617285;2012-10-06;30/365;EURIBOR;EUR;Coste amortizado;617185;Otros ingresos;617185;2.100;1.83;;;999999999999999.00;3.2;2900-12-31;;;PEQUEÑA_EMPRESA;1;En curso;;999999999999999.09
2024-10-07;1111111122;2024-11-07;9M;Variable;980445;980445;2016-10-07;30/360;EURIBOR;EUR;Valor razonable;980345;P/G;980345;0.350;0.09;EURIBOR;7M;999999999999999.00;1.77;2024-11-07;1M;3M;PERSONA;2;En curso;;999999999999999.10
2024-10-08;1111111123;2024-12-08;11M;Fijo;996854;996854;2012-10-08;Actual/Actual;EURIBOR;EUR;Coste amortizado;996754;Flujos de saldo;996754;0.930;0.61;;;0.17;0.86;2900-12-31;;;GRAN_EMPRESA;1;En curso;;999999999999999.11
2024-10-09;1111111124;2025-04-09;8M;Variable;524223;524223;2023-10-09;Actual/365;EURIBOR;EUR;Valor razonable;524123;Otros ingresos;524123;0.330;1.63;EURIBOR;2M;1;999999999999999.01;2025-04-09;1M;11M;OTR_INST_FIN;4;En curso;;999999999999999.12
2024-10-10;1111111125;2024-11-10;1M;Fijo;696824;696824;2019-10-10;Actual/360;EURIBOR;EUR;Coste amortizado;696724;P/G;696724;1.660;1.27;;;0.19;0.39;2900-12-31;;;GRAN_EMPRESA;3;En curso;;999999999999999.13
2024-10-11;1111111126;2025-03-11;7M;Variable;156280;156280;2013-10-11;30/365;EURIBOR;EUR;Valor razonable;156180;Flujos de saldo;156180;1.570;1.07;EURIBOR;7M;999999999999999.00;999999999999999.00;2025-03-11;5M;4M;OTR_INST_FIN;9;En curso;;999999999999999.14
2024-10-12;1111111127;2024-11-12;2M;Fijo;36010;36010;2014-10-12;30/360;EURIBOR;EUR;Coste amortizado;35910;Otros ingresos;35910;1.390;1.24;;;999999999999999.00;999999999999999.00;2900-12-31;;;BCE;5;En curso;;999999999999999.15
2024-10-13;1111111128;2025-03-13;9M;Variable;694446;694446;2018-10-13;Actual/Actual;EURIBOR;EUR;Valor razonable;694346;P/G;694346;2.510;1.01;EURIBOR;9M;999999999999999.00;999999999999999.00;2025-03-13;10M;10M;BDE;11;En curso;;999999999999999.16
2024-10-14;1111111129;2024-12-14;2M;Fijo;613534;613534;2013-10-14;Actual/365;EURIBOR;EUR;Coste amortizado;613434;Flujos de saldo;613434;0.150;0.05;;;0.06;999999999999999.00;2900-12-31;;;INST_BANCARIAS;3;En curso;;999999999999999.17
2024-10-15;1111111130;2024-11-15;2M;Variable;290128;290128;2010-10-15;Actual/360;EURIBOR;EUR;Valor razonable;290028;Otros ingresos;290028;2.700;0.19;EURIBOR;4M;0.13;999999999999999.00;2024-11-15;7M;11M;OTR_INST_FIN;15;En curso;;999999999999999.18
2024-10-16;1111111131;2024-12-16;6M;Fijo;460591;460591;2023-10-16;30/365;EURIBOR;EUR;Coste amortizado;460491;P/G;460491;1.720;0.63;;;0.15;999999999999999.00;2900-12-31;;;ISFLSH;18;En curso;;999999999999999.19
2024-10-17;1111111132;2025-07-17;9M;Variable;380204;380204;2017-10-17;30/360;EURIBOR;EUR;Valor razonable;380104;Flujos de saldo;380104;1.300;0.51;EURIBOR;10M;999999999999999.00;0.24;2025-07-17;7M;4M;INST_PUBLICA;18;En curso;;999999999999999.20
2024-10-18;1111111133;2025-02-18;4M;Fijo;360790;360790;2022-10-18;Actual/Actual;EURIBOR;EUR;Coste amortizado;360690;Otros ingresos;360690;2.270;1.21;;;999999999999999.00;4.9;2900-12-31;;;OTR_INST_NO_FIN;0;En curso;;999999999999999.21
2024-10-19;1111111134;2024-11-19;1M;Variable;712749;712749;2017-10-19;Actual/365;EURIBOR;EUR;Valor razonable;712649;P/G;712649;1.010;0.09;EURIBOR;9M;0.09;0.86;2024-11-19;11M;9M;GRAN_EMPRESA;8;En curso;;999999999999999.22
2024-10-20;1111111135;2024-11-20;4M;Fijo;461801;461801;2020-10-20;Actual/360;EURIBOR;EUR;Coste amortizado;461701;Flujos de saldo;461701;0.390;1.94;;;2;999999999999999.02;2900-12-31;;;PEQUEÑA_EMPRESA;18;En curso;;999999999999999.23
2024-10-21;1111111136;2025-06-21;11M;Variable;253816;253816;2018-10-21;30/365;EURIBOR;EUR;Valor razonable;253716;Otros ingresos;253716;2.280;0.39;EURIBOR;5M;0.03;4.01;2025-06-21;3M;7M;PERSONA;14;En curso;;999999999999999.24
2024-10-22;1111111137;2024-11-22;1M;Fijo;883845;883845;2011-10-22;30/360;EURIBOR;EUR;Coste amortizado;883745;P/G;883745;0.880;1.88;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;0;En curso;;999999999999999.25
2024-10-23;1111111138;2024-12-23;4M;Variable;948617;948617;2011-10-23;Actual/Actual;EURIBOR;EUR;Valor razonable;948517;Flujos de saldo;948517;2.730;2.00;EURIBOR;9M;999999999999999.00;999999999999999.00;2024-12-23;1M;1M;OTR_INST_FIN;18;En curso;;999999999999999.26
2024-10-24;1111111139;2025-02-24;4M;Fijo;30025;30025;2012-10-24;Actual/365;EURIBOR;EUR;Coste amortizado;29925;Otros ingresos;29925;2.030;0.54;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;13;En curso;;999999999999999.27
2024-10-25;1111111140;2025-06-25;11M;Variable;197372;197372;2016-10-25;Actual/360;EURIBOR;EUR;Valor razonable;197272;P/G;197272;1.400;0.38;EURIBOR;7M;0.1;999999999999999.00;2025-06-25;7M;2M;OTR_INST_FIN;5;En curso;;999999999999999.28
2024-10-26;1111111141;2024-11-26;3M;Fijo;873521;873521;2014-10-26;30/365;EURIBOR;EUR;Coste amortizado;873421;Flujos de saldo;873421;0.340;1.73;;;0.15;999999999999999.00;2900-12-31;;;BCE;0;En curso;;999999999999999.29
2024-10-27;1111111142;2025-08-27;10M;Variable;186770;186770;2014-10-27;30/360;EURIBOR;EUR;Valor razonable;186670;Otros ingresos;186670;0.760;0.75;EURIBOR;5M;0.15;999999999999999.00;2025-08-27;6M;5M;BDE;17;En curso;;999999999999999.30
2024-10-28;1111111143;2024-11-28;1M;Fijo;901232;901232;2014-10-28;Actual/Actual;EURIBOR;EUR;Coste amortizado;901132;P/G;901132;0.890;1.78;;;999999999999999.00;1.04;2900-12-31;;;INST_BANCARIAS;5;En curso;;999999999999999.31
2024-10-29;1111111144;2024-11-29;3M;Variable;753951;753951;2019-10-29;Actual/365;EURIBOR;EUR;Valor razonable;753851;Flujos de saldo;753851;2.920;1.33;EURIBOR;7M;999999999999999.00;0.53;2024-11-29;4M;9M;OTR_INST_FIN;14;En curso;;999999999999999.32
2024-10-30;1111111145;2024-12-30;3M;Fijo;709952;709952;2012-10-30;Actual/360;EURIBOR;EUR;Coste amortizado;709852;Otros ingresos;709852;2.670;2.00;;;0.06;2.58;2900-12-31;;;ISFLSH;10;En curso;;999999999999999.33
2024-10-31;1111111146;2025-03-31;5M;Variable;780607;780607;2012-10-31;30/365;EURIBOR;EUR;Valor razonable;780507;P/G;780507;1.080;1.77;EURIBOR;5M;3;999999999999999.03;2025-03-31;7M;10M;INST_PUBLICA;12;En curso;;999999999999999.34
2024-11-01;1111111147;2025-04-01;6M;Fijo;460004;460004;2012-11-01;30/360;EURIBOR;EUR;Coste amortizado;459904;Flujos de saldo;459904;1.480;0.89;;;0.2;3.05;2900-12-31;;;OTR_INST_NO_FIN;16;En curso;;999999999999999.35
2024-11-02;1111111148;2025-01-02;2M;Variable;798986;798986;2019-11-02;Actual/Actual;EURIBOR;EUR;Valor razonable;798886;Otros ingresos;798886;0.900;1.34;EURIBOR;5M;999999999999999.00;999999999999999.00;2025-01-02;1M;9M;GRAN_EMPRESA;18;En curso;;999999999999999.36
2024-11-03;1111111149;2025-05-03;8M;Fijo;423347;423347;2014-11-03;Actual/365;EURIBOR;EUR;Coste amortizado;423247;P/G;423247;2.640;0.30;;;999999999999999.00;999999999999999.00;2900-12-31;;;PEQUEÑA_EMPRESA;13;En curso;;999999999999999.37
2024-11-04;1111111150;2024-12-04;1M;Variable;178927;178927;2022-11-04;Actual/360;EURIBOR;EUR;Valor razonable;178827;Flujos de saldo;178827;2.230;0.49;EURIBOR;10M;999999999999999.00;999999999999999.00;2024-12-04;7M;4M;PERSONA;11;En curso;;999999999999999.38
2024-11-05;1111111151;2025-02-05;9M;Fijo;424168;424168;2013-11-05;30/365;EURIBOR;EUR;Coste amortizado;424068;Otros ingresos;424068;0.110;1.58;;;0.14;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;12;En curso;;999999999999999.39
2024-11-06;1111111152;2024-12-06;2M;Variable;249802;249802;2010-11-06;30/360;EURIBOR;EUR;Valor razonable;249702;P/G;249702;0.490;1.75;EURIBOR;3M;0.08;999999999999999.00;2024-12-06;10M;7M;OTR_INST_FIN;0;En curso;;999999999999999.40
2024-11-07;1111111153;2024-12-07;1M;Fijo;678175;678175;2016-11-07;Actual/Actual;EURIBOR;EUR;Coste amortizado;678075;Flujos de saldo;678075;0.330;0.98;;;0.01;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;2;En curso;;999999999999999.41
2024-11-08;1111111154;2024-12-08;2M;Variable;717155;717155;2021-11-08;Actual/365;EURIBOR;EUR;Valor razonable;717055;Otros ingresos;717055;1.230;0.33;EURIBOR;7M;999999999999999.00;0.05;2024-12-08;4M;5M;OTR_INST_FIN;14;En curso;;999999999999999.42
2024-11-09;1111111155;2025-08-09;11M;Fijo;729758;729758;2013-11-09;Actual/360;EURIBOR;EUR;Coste amortizado;729658;P/G;729658;0.970;1.78;;;999999999999999.00;4.76;2900-12-31;;;BCE;15;En curso;;999999999999999.43
2024-11-10;1111111156;2025-02-10;7M;Variable;576344;576344;2019-11-10;30/365;EURIBOR;EUR;Valor razonable;576244;Flujos de saldo;576244;2.980;0.67;EURIBOR;7M;0.14;4.3;2025-02-10;11M;5M;BDE;10;En curso;;999999999999999.44
2024-11-11;1111111157;2025-02-11;3M;Fijo;881670;881670;2017-11-11;30/360;EURIBOR;EUR;Coste amortizado;881570;Otros ingresos;881570;2.990;1.97;;;4;999999999999999.04;2900-12-31;;;INST_BANCARIAS;18;En curso;;999999999999999.45
2024-11-12;1111111158;2024-12-12;1M;Variable;782005;782005;2012-11-12;Actual/Actual;EURIBOR;EUR;Valor razonable;781905;P/G;781905;1.520;1.28;EURIBOR;5M;0.17;1.07;2024-12-12;5M;2M;OTR_INST_FIN;2;En curso;;999999999999999.46
2024-11-13;1111111159;2025-05-13;8M;Fijo;224046;224046;2010-11-13;Actual/365;EURIBOR;EUR;Coste amortizado;223946;Flujos de saldo;223946;2.930;0.67;;;999999999999999.00;999999999999999.00;2900-12-31;;;ISFLSH;11;En curso;;999999999999999.47
2024-11-14;1111111160;2025-05-14;9M;Variable;478359;478359;2014-11-14;Actual/360;EURIBOR;EUR;Valor razonable;478259;Otros ingresos;478259;2.680;1.10;EURIBOR;10M;999999999999999.00;999999999999999.00;2025-05-14;7M;8M;INST_PUBLICA;1;En curso;;999999999999999.48
2024-11-15;1111111161;2024-12-15;9M;Fijo;140422;140422;2012-11-15;30/365;EURIBOR;EUR;Coste amortizado;140322;P/G;140322;2.960;1.62;;;999999999999999.00;999999999999999.00;2900-12-31;;;OTR_INST_NO_FIN;4;En curso;;999999999999999.49
2024-11-16;1111111162;2024-12-16;4M;Variable;659397;659397;2014-11-16;30/360;EURIBOR;EUR;Valor razonable;659297;Flujos de saldo;659297;0.160;1.77;EURIBOR;2M;0.19;999999999999999.00;2024-12-16;6M;10M;GRAN_EMPRESA;8;En curso;;999999999999999.50
2024-11-17;1111111163;2025-04-17;5M;Fijo;899340;899340;2023-11-17;Actual/Actual;EURIBOR;EUR;Coste amortizado;899240;Otros ingresos;899240;0.050;1.10;;;0.13;999999999999999.00;2900-12-31;;;PEQUEÑA_EMPRESA;14;En curso;;999999999999999.51
2024-11-18;1111111164;2025-03-18;6M;Variable;222170;222170;2010-11-18;Actual/365;EURIBOR;EUR;Valor razonable;222070;P/G;222070;1.930;0.15;EURIBOR;3M;0.09;999999999999999.00;2025-03-18;3M;3M;PERSONA;5;En curso;;999999999999999.52
2024-11-19;1111111165;2025-09-19;10M;Fijo;958578;958578;2023-11-19;Actual/360;EURIBOR;EUR;Coste amortizado;958478;Flujos de saldo;958478;0.100;0.45;;;999999999999999.00;2.42;2900-12-31;;;GRAN_EMPRESA;4;En curso;;999999999999999.53
2024-11-20;1111111166;2025-02-20;4M;Variable;817322;817322;2013-11-20;30/365;EURIBOR;EUR;Valor razonable;817222;Otros ingresos;817222;0.760;1.24;EURIBOR;5M;999999999999999.00;1.24;2025-02-20;11M;7M;OTR_INST_FIN;17;En curso;;999999999999999.54
2024-11-21;1111111167;2025-03-21;4M;Fijo;809194;809194;2016-11-21;30/360;EURIBOR;EUR;Coste amortizado;809094;P/G;809094;2.030;1.12;;;0.01;3.32;2900-12-31;;;GRAN_EMPRESA;3;En curso;;999999999999999.55
2024-11-22;1111111168;2025-01-22;11M;Variable;433445;433445;2023-11-22;Actual/Actual;EURIBOR;EUR;Valor razonable;433345;Flujos de saldo;433345;2.310;1.04;EURIBOR;11M;5;999999999999999.05;2025-01-22;10M;10M;OTR_INST_FIN;18;En curso;;999999999999999.56
2024-11-23;1111111169;2025-05-23;11M;Fijo;285603;285603;2012-11-23;Actual/365;LIBOR;GBP;Coste amortizado;285503;Otros ingresos;285503;0.460;1.46;;;0.04;1.85;2900-12-31;;;BCE;3;En curso;;999999999999999.57
2024-11-24;1111111170;2025-02-24;3M;Variable;105763;105763;2009-11-24;Actual/360;LIBOR;GBP;Valor razonable;105663;P/G;105663;1.180;0.39;LIBOR;8M;999999999999999.00;999999999999999.00;2025-02-24;4M;7M;BDE;18;En curso;;999999999999999.58
2024-11-25;1111111171;2025-03-25;7M;Fijo;81857;81857;2012-11-25;30/365;LIBOR;GBP;Coste amortizado;81757;Flujos de saldo;81757;1.630;0.55;;;999999999999999.00;999999999999999.00;2900-12-31;;;INST_BANCARIAS;3;En curso;;999999999999999.59
2024-11-26;1111111172;2025-02-26;4M;Variable;631462;631462;2018-11-26;30/360;LIBOR;GBP;Valor razonable;631362;Otros ingresos;631362;2.600;1.76;LIBOR;2M;999999999999999.00;999999999999999.00;2025-02-26;9M;4M;OTR_INST_FIN;5;En curso;;999999999999999.60
2024-11-27;1111111173;2025-03-27;6M;Fijo;590305;590305;2021-11-27;Actual/Actual;LIBOR;GBP;Coste amortizado;590205;P/G;590205;2.990;1.24;;;0.17;999999999999999.00;2900-12-31;;;ISFLSH;6;En curso;;999999999999999.61
2024-11-28;1111111174;2025-02-28;3M;Variable;665591;665591;2013-11-28;Actual/365;LIBOR;GBP;Valor razonable;665491;Flujos de saldo;665491;0.510;1.24;LIBOR;2M;0.16;999999999999999.00;2025-02-28;4M;3M;INST_PUBLICA;3;En curso;;999999999999999.62
2024-11-29;1111111175;2025-01-29;2M;Fijo;232321;232321;2013-11-29;Actual/360;LIBOR;GBP;Coste amortizado;232221;Otros ingresos;232221;1.390;1.92;;;0.05;999999999999999.00;2900-12-31;;;OTR_INST_NO_FIN;0;En curso;;999999999999999.63
2024-11-30;1111111176;2025-01-30;2M;Variable;767413;767413;2012-11-30;30/365;LIBOR;GBP;Valor razonable;767313;P/G;767313;0.860;0.81;LIBOR;11M;999999999999999.00;0.21;2025-01-30;6M;6M;GRAN_EMPRESA;3;En curso;;999999999999999.64
2024-12-01;1111111177;2025-01-01;9M;Fijo;540018;540018;2016-12-01;30/360;LIBOR;GBP;Coste amortizado;539918;Flujos de saldo;539918;2.540;1.97;;;999999999999999.00;0.45;2900-12-31;;;PEQUEÑA_EMPRESA;17;En curso;;999999999999999.65
2024-12-02;1111111178;2025-03-02;3M;Variable;763602;763602;2013-12-02;Actual/Actual;LIBOR;GBP;Valor razonable;763502;Otros ingresos;763502;2.000;0.21;LIBOR;7M;0.01;3.79;2025-03-02;2M;4M;PERSONA;16;En curso;;999999999999999.66
2024-12-03;1111111179;2025-01-03;3M;Fijo;575282;575282;2023-12-03;Actual/365;LIBOR;GBP;Coste amortizado;575182;P/G;575182;1.080;0.24;;;6;999999999999999.06;2900-12-31;;;GRAN_EMPRESA;6;En curso;;999999999999999.67
2024-12-04;1111111180;2025-08-04;8M;Variable;510322;510322;2012-12-04;Actual/360;LIBOR;GBP;Valor razonable;510222;Flujos de saldo;510222;1.830;1.74;LIBOR;9M;0.11;0.9;2025-08-04;11M;2M;OTR_INST_FIN;16;En curso;;999999999999999.68
2024-12-05;1111111181;2025-01-05;8M;Fijo;640204;640204;2019-12-05;30/365;LIBOR;GBP;Coste amortizado;640104;Otros ingresos;640104;0.280;0.77;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;14;En curso;;999999999999999.69
2024-12-06;1111111182;2025-02-06;2M;Variable;86169;86169;2017-12-06;30/360;LIBOR;GBP;Valor razonable;86069;P/G;86069;2.720;0.40;LIBOR;2M;999999999999999.00;999999999999999.00;2025-02-06;10M;2M;OTR_INST_FIN;13;En curso;;999999999999999.70
2024-12-07;1111111183;2025-02-07;5M;Fijo;746805;746805;2020-12-07;Actual/Actual;LIBOR;GBP;Coste amortizado;746705;Flujos de saldo;746705;2.330;1.67;;;999999999999999.00;999999999999999.00;2900-12-31;;;BCE;6;En curso;;999999999999999.71
2024-12-08;1111111184;2025-05-08;11M;Variable;307517;307517;2023-12-08;Actual/365;LIBOR;GBP;Valor razonable;307417;Otros ingresos;307417;0.120;0.89;LIBOR;5M;0.1;999999999999999.00;2025-05-08;11M;7M;BDE;3;En curso;;999999999999999.72
2024-12-09;1111111185;2025-08-09;11M;Fijo;984918;984918;2012-12-09;Actual/360;LIBOR;GBP;Coste amortizado;984818;P/G;984818;2.030;1.58;;;0.05;999999999999999.00;2900-12-31;;;INST_BANCARIAS;14;En curso;;999999999999999.73
2024-12-10;1111111186;2025-06-10;8M;Variable;604517;604517;2014-12-10;30/365;LIBOR;GBP;Valor razonable;604417;Flujos de saldo;604417;2.580;0.68;LIBOR;1M;0.1;999999999999999.00;2025-06-10;4M;6M;OTR_INST_FIN;2;En curso;;999999999999999.74
2024-12-11;1111111187;2025-03-11;10M;Fijo;394793;394793;2021-12-11;30/360;LIBOR;GBP;Coste amortizado;394693;Otros ingresos;394693;0.210;0.88;;;999999999999999.00;1.32;2900-12-31;;;ISFLSH;5;En curso;;999999999999999.75
2024-12-12;1111111188;2025-05-12;5M;Variable;7641;7641;2012-12-12;Actual/Actual;LIBOR;GBP;Valor razonable;7541;P/G;7541;2.710;1.68;LIBOR;3M;999999999999999.00;3.17;2025-05-12;4M;8M;INST_PUBLICA;1;En curso;;999999999999999.76
2024-12-13;1111111189;2025-03-13;3M;Fijo;273990;273990;2016-12-13;Actual/365;LIBOR;GBP;Coste amortizado;273890;Flujos de saldo;273890;0.460;0.58;;;0.17;1.95;2900-12-31;;;OTR_INST_NO_FIN;8;En curso;;999999999999999.77
2024-12-14;1111111190;2025-04-14;4M;Variable;809386;809386;2017-12-14;Actual/360;LIBOR;GBP;Valor razonable;809286;Otros ingresos;809286;2.990;1.02;LIBOR;7M;7;999999999999999.07;2025-04-14;7M;1M;GRAN_EMPRESA;10;En curso;;999999999999999.78
2024-12-15;1111111191;2025-06-15;6M;Fijo;833397;833397;2012-12-15;30/365;LIBOR;GBP;Coste amortizado;833297;P/G;833297;1.630;1.14;;;0.04;0.3;2900-12-31;;;PEQUEÑA_EMPRESA;3;En curso;;999999999999999.79
2024-12-16;1111111192;2025-07-16;8M;Variable;937535;937535;2011-12-16;30/360;EURIBOR;EUR;Valor razonable;937435;Flujos de saldo;937435;0.170;0.31;EURIBOR;1M;999999999999999.00;999999999999999.00;2025-07-16;10M;6M;PERSONA;6;En curso;;999999999999999.80
2024-12-17;1111111193;2025-01-17;7M;Fijo;472608;472608;2011-12-17;Actual/Actual;EURIBOR;EUR;Coste amortizado;472508;Otros ingresos;472508;2.100;1.65;;;999999999999999.00;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;5;En curso;;999999999999999.81
2024-12-18;1111111194;2025-05-18;11M;Variable;999565;999565;2020-12-18;Actual/365;EURIBOR;EUR;Valor razonable;999465;P/G;999465;1.340;0.20;EURIBOR;2M;999999999999999.00;999999999999999.00;2025-05-18;2M;7M;OTR_INST_FIN;16;En curso;;999999999999999.82
2024-12-19;1111111195;2025-04-19;4M;Fijo;92474;92474;2017-12-19;Actual/360;EURIBOR;EUR;Coste amortizado;92374;Flujos de saldo;92374;0.140;0.07;;;0.14;999999999999999.00;2900-12-31;;;GRAN_EMPRESA;3;En curso;;999999999999999.83
2024-12-20;1111111196;2025-05-20;6M;Variable;962807;962807;2017-12-20;30/365;EURIBOR;EUR;Valor razonable;962707;Otros ingresos;962707;1.500;1.44;EURIBOR;6M;0.2;999999999999999.00;2025-05-20;5M;3M;OTR_INST_FIN;6;En curso;;999999999999999.84
2024-12-21;1111111197;2025-08-21;11M;Fijo;998488;998488;2009-12-21;30/360;EURIBOR;EUR;Coste amortizado;998388;P/G;998388;2.320;0.82;;;0.11;999999999999999.00;2900-12-31;;;BCE;1;En curso;;999999999999999.85
2024-12-22;1111111198;2025-06-22;7M;Variable;392713;392713;2020-12-22;Actual/Actual;EURIBOR;EUR;Valor razonable;392613;Flujos de saldo;392613;1.350;1.64;EURIBOR;8M;999999999999999.00;0.83;2025-06-22;6M;1M;BDE;13;En curso;;999999999999999.86
